,pair,Censored_Category_Similarity,proportion-similarity,Blocking_Proportion_Similarity,Overall_Similarity,PercentRangeGroup,country_code_alpha3_A,country_code_alpha3_B
961,"('NO', 'DK')",99.92127238714772,0.9997301799781244,0.9974324753448829,50.4593524312463,50,NOR,DNK
783,"('LT', 'NZ')",99.90668166650562,0.9997102486709301,0.9972424373232398,50.45196205191443,50,LTU,NZL
926,"('NL', 'IL')",99.90553784552833,0.9994487126651515,0.994748783262221,50.45014331439528,50,NLD,ISR
308,"('CO', 'PE')",99.88780460355102,0.9999690712010182,0.9997102193455123,50.44375741144827,50,COL,PER
377,"('ES', 'MD')",99.8878843832422,0.9992722121298906,0.9930659125797888,50.440475147910995,50,ESP,MDA
434,"('FR', 'LU')",99.85235548462622,0.9999409004859962,0.9994416214608449,50.42589855304353,50,FRA,LUX
345,"('DK', 'PL')",99.84223017320075,0.9994669843394812,0.9949229972667456,50.418576585233744,50,DNK,POL
991,"('NZ', 'HU')",99.84398678881622,0.9992182359669192,0.9925512688021905,50.418269028809206,50,NZL,HUN
924,"('NL', 'HU')",99.84213818572869,0.9990698534721676,0.9911364937714263,50.416637339750054,50,NLD,HUN
1185,"('SE', 'LU')",99.82221330826583,0.9998084260858157,0.9981785245308155,50.41019591639832,50,SWE,LUX
1188,"('SE', 'NO')",99.82028464325884,0.9999718222545588,0.9997364496758765,50.41001054646736,50,SWE,NOR
807,"('LU', 'DK')",99.82015051961378,0.9998935761468676,0.9989904004899439,50.40957046005186,50,LUX,DNK
771,"('LT', 'HU')",99.82362444841073,0.9995079872959891,0.9953139460720746,50.4094691972414,50,LTU,HUN
1107,"('RO', 'SE')",99.81998432151285,0.9997409520295625,0.9975351830762106,50.40875975229453,50,ROU,SWE
1174,"('SE', 'DK')",99.817482128746,0.9997020022326832,0.9971638104276355,50.407322969586815,50,SWE,DNK
817,"('LU', 'NO')",99.81293697119244,0.9998366038312568,0.9984471894480629,50.40569208032025,50,LUX,NOR
1098,"('RO', 'NO')",99.80946748777508,0.9997691297750037,0.997803847993458,50.40363566788427,50,ROU,NOR
515,"('HU', 'MD')",99.80710169117502,0.9999234543567133,0.9992752787387182,50.40318848495687,50,HUN,MDA
194,"('CA', 'BE')",99.80196198851166,0.9997448739948597,0.9975725776393852,50.399767283075526,50,CAN,BEL
684,"('KE', 'MD')",99.80235821956603,0.9992135665146452,0.9925067472129315,50.39743248338948,50,KEN,MDA
370,"('ES', 'HU')",99.79903159869347,0.999195666486604,0.9923360767253843,50.39568383770943,50,ESP,HUN
779,"('LT', 'MD')",99.78901975927754,0.9995845329392758,0.9960437819264802,50.392531770602005,50,LTU,MDA
343,"('DK', 'IL')",99.78496520808989,0.9997405854684666,0.9975316880447608,50.39124844806732,50,DNK,ISR
998,"('NZ', 'MD')",99.78027519577635,0.9992947816102059,0.9932811046565961,50.38677815021648,50,NZL,MDA
1177,"('SE', 'FR')",99.77242577118673,0.9998675255998195,0.9987420176630945,50.38558389442491,50,SWE,FRA
510,"('HU', 'IL')",99.77200346326504,0.9996211408070161,0.9963928251023292,50.384198144183685,50,HUN,ISR
645,"('JP', 'NZ')",99.76947949027031,0.999462247489964,0.9948778330684174,50.382178661669364,50,JPN,NZL
1094,"('RO', 'LU')",99.75172899989055,0.9999325259437468,0.999361773138519,50.37554538651453,50,ROU,LUX
417,"('FR', 'BE')",99.75089499951257,0.9998648381165411,0.9987163934528789,50.374805696482724,50,FRA,BEL
767,"('LT', 'ES')",99.74878549841965,0.9996876791906147,0.9970272452464325,50.37290637183304,50,LTU,ESP
928,"('NL', 'IS')",99.75085904760473,0.9991317873020151,0.9917270111109183,50.37129302935783,50,NLD,ISL
1190,"('SE', 'PL')",99.7374294901545,0.9997649821067981,0.997764301432235,50.36759689579337,50,SWE,POL
321,"('CO', 'US')",99.72522973232786,0.9995006791775831,0.995244265726964,50.360236999027414,50,COL,USA
603,"('IS', 'CZ')",99.70654953764331,0.9997305469602562,0.997435974390762,50.35199275601704,50,ISL,CZE
969,"('NO', 'PL')",99.70249936264715,0.9997368043613568,0.9974956365149866,50.349997499581065,50,NOR,POL
688,"('KE', 'NZ')",99.71132483892761,0.998508348124851,0.9857827372764028,50.34855378810201,50,KEN,NZL
381,"('ES', 'NZ')",99.69517444162531,0.9999774305196847,0.9997899225163166,50.34748218207081,50,ESP,NZL
870,"('MX', 'IS')",99.70174168898602,0.9992336925057695,0.9926986414775465,50.34722016523178,50,MEX,ISL
776,"('LT', 'KE')",99.70464823405423,0.998798099453921,0.9885454145462869,50.346596824300256,50,LTU,KEN
934,"('NL', 'MX')",99.70833754270616,0.9983654798077847,0.984420537995341,50.346379040350755,50,NLD,MEX
607,"('IS', 'IL')",99.69257168712372,0.9996830746368638,0.9969833424418223,50.34477751478277,50,ISL,ISR
933,"('NL', 'MD')",99.69355348317406,0.9991463991154542,0.9918663296258309,50.342709906399946,50,NLD,MDA
919,"('NL', 'ES')",99.6813416605552,0.9998741869855636,0.998805531639166,50.340073596097184,50,NLD,ESP
1081,"('RO', 'DK')",99.67130378243266,0.9999610502031208,0.9996337419445487,50.335468762188604,50,ROU,DNK
937,"('NL', 'NZ')",99.67075116144521,0.9998516175052484,0.9985903395623598,50.33467075050378,50,NLD,NZL
818,"('LU', 'PL')",99.67330986259248,0.9995734081926138,0.9959377113699267,50.334623786981204,50,LUX,POL
