FID,CNTRY_NAME,NATO,Year_Joine,Shape__Area,Shape__Length
1,Albania,Yes,2009,50586713623.6025,1271946.47866283
2,Belgium,Yes,1949,76131269473.3269,1617771.31004722
3,Bulgaria,Yes,2004,206136986327.369,2514820.75422138
4,Canada,Yes,1949,51194428023065.4,343480453.194055
5,Croatia,Yes,2009,112026617793.403,4758013.43673666
6,Czech Republic,Yes,1999,188422230978.78,2391757.6200841
7,Denmark,Yes,1949,136059354738.451,6527979.5266262
8,Estonia,Yes,2004,169454890679.271,3320005.01435701
9,France,Yes,1949,1248708044683.83,10278128.2409611
10,Germany,Yes,1955,907304831820.169,7612964.18959266
11,Greece,Yes,1952,216371999892.882,9900649.3977342
12,Hungary,Yes,1999,201147063294.838,2301611.61229187
13,Iceland,Yes,1949,574334264745.062,8671035.83434569
14,Italy,Yes,1949,559850880293.625,8648212.69239039
15,Latvia,Yes,2004,215738283110.217,2738360.1994649
16,Lithuania,Yes,2004,200559588522.379,2380963.08313462
17,Luxembourg,Yes,1949,6180157226.38745,371156.021931988
18,Montenegro,Yes,2017,25634925667.043,936951.183871271
19,Netherlands,Yes,1949,94702936076.1565,3606102.55118689
20,Norway,Yes,1949,3441893638682.43,72571498.8798937
21,Poland,Yes,1999,826761399032.091,4730103.30981604
22,Portugal,Yes,1949,155189774328.805,3429623.45505329
23,Romania,Yes,2004,489457842333.134,3713582.15436038
24,Slovakia,Yes,2004,112269878205.362,1829938.49330142
25,Slovenia,Yes,2004,42500557014.1563,1243044.72191069
26,Spain,Yes,1982,871820095566.257,7492851.02193217
27,Turkey,Yes,1952,1296778739592.76,9290164.45501629
28,United Kingdom,Yes,1949,714871825816.986,16208968.0005726
29,United States,Yes,1949,21728947577958.6,99206990.5788983
