,Country,scores
0,Singapore,84.8
1,United States,83.7
2,Hong Kong,83.1
3,Netherlands,82.4
4,Switzerland,82.3
5,Japan,82.3
6,Germany,81.8
7,Sweden,81.2
8,United Kingdom,81.2
9,Denmark,81.2
10,Finland,80.2
11,Taiwan,80.2
12,South Korea,79.6
13,Canada,79.6
14,France,78.8
15,Australia,78.7
16,Norway,78.1
17,Luxembourg,77.0
18,New Zealand,76.7
19,Israel,76.7
20,Austria,76.6
21,Belgium,76.4
22,Spain,75.3
23,Republic of Ireland,75.1
24,United Arab Emirates,75.0
25,Iceland,74.7
26,Malaysia,74.6
27,China,73.9
28,Qatar,72.9
29,Italy,71.5
30,Estonia,70.9
31,Czech Republic,70.9
32,Chile,70.5
33,Portugal,70.4
34,Slovenia,70.2
35,Saudi Arabia,70.0
36,Poland,68.9
37,Malta,68.5
38,Lithuania,68.4
39,Thailand,68.1
40,Latvia,67.0
41,Slovakia,66.8
42,Russia,66.7
43,Cyprus,66.4
44,Bahrain,65.4
45,Kuwait,65.1
46,Hungary,65.1
47,Mexico,64.9
48,Bulgaria,64.9
49,Indonesia,64.6
50,Romania,64.4
51,Mauritius,64.3
52,Oman,63.6
53,Uruguay,63.5
54,Kazakhstan,62.9
55,Brunei,62.8
56,Colombia,62.7
57,Azerbaijan,62.7
58,Greece,62.6
59,South Africa,62.4
60,Turkey,62.1
61,Costa Rica,62.0
62,Croatia,61.9
63,Philippines,61.9
64,Peru,61.7
65,Panama,61.6
66,Vietnam,61.5
67,India,61.4
68,Armenia,61.3
69,Jordan,60.9
70,Brazil,60.9
71,Serbia,60.9
72,Montenegro,60.9
73,Georgia (country),60.9
74,Morocco,60.0
75,Seychelles,59.6
76,Barbados,58.9
77,Dominican Republic,58.3
78,Trinidad and Tobago,58.3
79,Jamaica,58.3
80,Albania,57.6
81,North Macedonia,57.3
82,Argentina,57.2
83,Sri Lanka,57.1
84,Ukraine,57.0
85,Moldova,56.7
86,Tunisia,56.4
87,Lebanon,56.3
88,Algeria,56.3
89,Ecuador,55.7
90,Botswana,55.5
91,Bosnia and Herzegovina,54.7
92,Egypt,54.5
93,Namibia,54.5
94,Kenya,54.1
95,Kyrgyzstan,54.0
96,Paraguay,53.6
97,Guatemala,53.5
98,Iran,53.0
99,Rwanda,52.8
100,Honduras,52.7
101,Mongolia,52.6
102,El Salvador,52.6
103,Tajikistan,52.4
104,Bangladesh,52.1
105,Cambodia,52.1
106,Bolivia,51.8
107,Nepal,51.6
108,Nicaragua,51.5
109,Pakistan,51.4
110,Ghana,51.2
111,Cape Verde,50.8
112,Laos,50.1
113,Senegal,49.7
114,Uganda,48.9
115,Nigeria,48.3
116,Tanzania,48.2
117,Ivory Coast,48.1
118,Gabon,47.5
119,Zambia,46.5
120,Eswatini,46.4
121,Guinea,46.1
122,Cameroon,46.0
123,The Gambia,45.9
124,Benin,45.8
125,Ethiopia,44.4
126,Zimbabwe,44.2
127,Malawi,43.7
128,Mali,43.6
129,Burkina Faso,43.4
130,Lesotho,42.9
131,Madagascar,42.9
132,Venezuela,41.8
133,Mauritania,40.9
134,Burundi,40.3
135,Angola,38.1
136,Mozambique,38.1
137,Haiti,36.3
138,Democratic Republic of the Congo,36.1
139,Yemen,35.5
140,Chad,35.1
