,pair,country_code_alpha2_A,country_code_alpha2_B,Censored_Category_Similarity,Blocking_Proportion_Similarity,Overall_Similarity,country_code_alpha3_A,country_code_alpha3_B
308,"('CO', 'PE')",CO,PE,0.9986194764786314,0.999538435722156,0.9990789561003937,COL,PER
961,"('NO', 'DK')",NO,DK,0.9988846045081479,0.9992705552932603,0.9990775799007041,NOR,DNK
783,"('LT', 'NZ')",LT,NZ,0.9982555255992049,0.9992273715820366,0.9987414485906208,LTU,NZL
419,"('FR', 'CA')",FR,CA,0.997616825294983,0.9996175975242828,0.9986172114096329,FRA,CAN
817,"('LU', 'NO')",LU,NO,0.9974867810597485,0.9996872579567011,0.9985870195082248,LUX,NOR
1177,"('SE', 'FR')",SE,FR,0.9973379400810233,0.9996824562134399,0.9985101981472315,SWE,FRA
78,"('BE', 'GR')",BE,GR,0.9974225625051865,0.9994364763670832,0.9984295194361348,BEL,GRC
417,"('FR', 'BE')",FR,BE,0.9977124779685324,0.9991437632266751,0.9984281205976038,FRA,BEL
1188,"('SE', 'NO')",SE,NO,0.997240499479047,0.9995890209783935,0.9984147602287203,SWE,NOR
926,"('NL', 'IL')",NL,IL,0.9974954798176169,0.999202645391529,0.998349062604573,NLD,ISR
434,"('FR', 'LU')",FR,LU,0.9966146438613203,0.9995842192351313,0.9980994315482258,FRA,LUX
201,"('CA', 'GR')",CA,GR,0.9970042513228696,0.9989626420694755,0.9979834466961726,CAN,GRC
1185,"('SE', 'LU')",SE,LU,0.9959864863885852,0.9999022239709779,0.9979443551797815,SWE,LUX
1169,"('SE', 'CA')",SE,CA,0.9958157909946365,0.9999356022601295,0.997875696627383,SWE,CAN
194,"('CA', 'BE')",CA,BE,0.9960923645056242,0.99952662665168,0.9978094955786521,CAN,BEL
515,"('HU', 'MD')",HU,MD,0.9960137852123638,0.9994243028232618,0.9977190440178128,HUN,MDA
807,"('LU', 'DK')",LU,DK,0.9958118357601957,0.9995837582858447,0.9976977970230202,LUX,DNK
1174,"('SE', 'DK')",SE,DK,0.9954230368746819,0.9996819952641532,0.9975525160694176,SWE,DNK
802,"('LU', 'BE')",LU,BE,0.9954452918651109,0.9995600049408304,0.9975026484029706,LUX,BEL
437,"('FR', 'NO')",FR,NO,0.9957311017350127,0.9992710162425458,0.9975010589887792,FRA,NOR
937,"('NL', 'NZ')",NL,NZ,0.9939417240406536,0.9999544699646664,0.9969480970026601,NLD,NZL
427,"('FR', 'GR')",FR,GR,0.9952991612944395,0.9985797786444717,0.9969394699694556,FRA,GRC
343,"('DK', 'IL')",DK,IL,0.9948522189995634,0.9990202548133228,0.9969362369064432,DNK,ISR
35,"('AU', 'ES')",AU,ES,0.9938920047393933,0.999889540174016,0.9968907724567047,AUS,ESP
804,"('LU', 'CA')",LU,CA,0.9938138478754182,0.9999670826601351,0.9968904652677766,LUX,CAN
931,"('NL', 'LT')",NL,LT,0.9944925027152106,0.9992733625666558,0.9968829326409332,NLD,LTU
381,"('ES', 'NZ')",ES,NZ,0.9938254119002509,0.9998381556739679,0.9968317837871095,ESP,NZL
1167,"('SE', 'BE')",SE,BE,0.9940954428347029,0.9994617679625218,0.9967786053986123,SWE,BEL
1366,"('US', 'HU')",US,HU,0.9963373025816877,0.9971440267539025,0.9967406646677951,USA,HUN
767,"('LT', 'ES')",LT,ES,0.9940676242082077,0.9993896768573552,0.9967286505327815,LTU,ESP
