alpha3,num_observations,num_observations_blocked,num_unique_sites_measured,num_unique_sites_blocked,alpha2,File Sharing and Storage,Reference,Information Technology,Instant Messaging,News and Media,Shopping,Advertising,Streaming Media and Download,Search Engines and Portals,Entertainment,Internet Radio and TV,Travel,Other Adult Materials,Business,Illegal or Unethical,Pornography,Newsgroups and Message Boards,Personal Websites and Blogs,Finance and Banking,Sports,Education,Government and Legal Organizations,Games,Malicious Websites,Content Servers,Auction,Arts and Culture,Real Estate,Web Analytics,Social Networking,Job Search,Domain Parking,Web-based Applications,Society and Lifestyles,Gambling,Internet Telephony,Web Hosting,Phishing,Web-based Email,Peer-to-peer File Sharing,Dating,Political Organizations,General Organizations,Not Rated,Newly Observed Domain,Global Religion,Armed Forces,Extremist Groups,Explicit Violence,Drug Abuse,Health and Wellness,Spam URLs,Secure Websites,Advocacy Organizations,Hacking,Marijuana,Proxy Avoidance,Web Chat,Sex Education,Information and Computer Security,Lingerie and Swimsuit,Discrimination,Meaningless Content,Restaurant and Dining,Charitable Organizations,Freeware and Software Downloads,Personal Vehicles,Dynamic DNS,Tobacco,Alcohol,Abortion,Online Meeting,Brokerage and Trading,Alternative Beliefs,Medicine,Child Education,Remote Access
UKR,509629,1178,10258,49,UA,0.0,1.4431239388794568,2.037351443123939,0.0,13.921901528013583,0.0,0.0,0.0,0.08488964346349745,7.894736842105263,0.0,0.0,0.0,0.0,0.08488964346349745,0.0,2.037351443123939,7.6400679117147705,0.08488964346349745,0.0,7.215619694397284,0.6791171477079796,6.960950764006792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6791171477079796,0.0,0.0,0.0,1.2733446519524618,0.0,0.0,0.0,7.300509337860781,16.808149405772497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.743633276740237,0.0,0.0,1.4431239388794568,0.0,0.0,7.470288624787776,0.0,0.0,0.0,3.480475382003396,0.0,0.0,0.0,0.0,0.08488964346349745,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789473684212,0.0,0.0,0.0,0.0
COL,272241,699,6964,60,CO,0.0,1.4306151645207439,0.2861230329041488,0.0,13.590844062947067,1.0014306151645207,0.0,0.0,1.1444921316165952,11.7310443490701,0.2861230329041488,0.1430615164520744,0.0,0.1430615164520744,0.0,0.1430615164520744,2.2889842632331905,0.0,0.1430615164520744,0.0,10.014306151645208,0.7153075822603719,8.15450643776824,0.0,0.0,0.1430615164520744,0.0,0.0,0.0,0.0,0.0,1.4306151645207439,0.0,0.0,0.0,0.8583690987124464,0.0,0.0,0.1430615164520744,10.586552217453505,0.0,0.0,0.4291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.02002861230329,0.0,0.0,1.859799713876967,0.0,0.0,10.300429184549357,0.0,0.0,0.0,5.293276108726753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.719599427753934,0.0,0.0,0.0,0.0
KOR,1290323,30292,8333,1294,KR,1.891588538227915,1.079492935428496,2.0038293938993794,0.03631321801135613,9.712135217219068,8.7745939521986,0.049518024560940184,2.8291298032483825,1.4261191073550772,3.1592499669879834,0.042915621286148155,0.04621682292354417,1.6968176416215504,1.894889739865311,1.0332761125049519,39.683744883137464,0.22448171134292882,0.9606496764822395,0.15185527532021656,0.03961441964875215,1.607685197411858,1.8288657071173908,1.0233725075927638,1.396408292618513,0.003301201637396012,0.05281922619833619,0.7724811831506668,0.003301201637396012,0.009903604912188037,0.1353492671332365,0.009903604912188037,0.03961441964875215,0.033012016373960125,0.06932523438531625,3.4200448963422687,0.10563845239667238,0.3202165588274132,0.0,0.1089396540340684,0.9045292486465073,0.08583124257229631,2.446190413310445,2.158985870856992,1.369998679519345,0.277300937541265,0.1947708966063647,0.042915621286148155,0.006602403274792024,0.0,0.02971081473656411,1.0365773141423478,0.0,0.013204806549584048,0.22118050970553282,0.05942162947312822,0.6140235045556582,0.8682160306351512,0.0,0.05942162947312822,0.042915621286148155,0.5017826488841939,0.006602403274792024,0.3466261719265813,0.0,0.02971081473656411,0.05281922619833619,0.019807209824376074,0.7031559487653506,0.019807209824376074,0.013204806549584048,0.003301201637396012,0.0,0.1947708966063647,0.0,0.0,0.0,0.0
USA,27107680,80805,19065,447,US,0.0024750943629725883,1.3984283150795125,0.22275849266753295,0.0012375471814862942,12.771486912938556,0.8378194418662211,0.0012375471814862942,0.4640801930573603,0.5841222696615308,11.132974444650703,0.008662830270404058,0.006187735907431471,0.009900377451890353,0.7115896293546191,0.1522183033228142,0.04950188725945177,2.2869871913866717,0.0024750943629725883,0.011137924633376647,0.0,11.094610482024628,0.1707815110451086,9.677618959222821,0.0,0.0,0.0,0.0,0.0,0.0,0.018563207722294413,0.01485056617783553,0.6459996287358456,0.0,0.0037126415444588825,0.018563207722294413,1.0246890662706516,0.021038302085267,0.0,0.013613018996349235,11.236928407895551,0.3415630220902172,0.0037126415444588825,0.5408081183095106,0.0,0.0,0.024750943629725883,0.006187735907431471,0.0012375471814862942,0.0,0.0,13.949631829713509,0.0,0.0,0.033413773900129944,0.004950188725945177,0.009900377451890353,11.166388218550832,0.0,0.0012375471814862942,0.0,6.521873646432771,0.0012375471814862942,0.022275849266753293,0.0024750943629725883,0.0,0.013613018996349235,0.0037126415444588825,0.0,0.007425283088917765,0.0012375471814862942,0.0012375471814862942,0.0,2.7448796485366005,0.0,0.0,0.0,0.0
BGR,470325,1299,6319,53,BG,0.0,0.6928406466512702,0.30792917628945343,0.0,9.16089299461124,0.30792917628945343,0.0,0.07698229407236336,0.15396458814472672,8.775981524249422,0.0,0.07698229407236336,0.0,0.0,20.1693610469592,0.0,1.4626635873749039,0.0,0.0,0.0,8.622016936104696,1.539645881447267,8.775981524249422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2317167051578137,0.0,0.0,0.0,0.3849114703618168,0.0,0.0,0.0,8.92994611239415,0.07698229407236336,0.0,0.0,0.0,0.0,0.07698229407236336,0.23094688221709006,0.0,0.0,0.0,12.3941493456505,0.0,0.0,1.0007698229407236,0.0,0.0,8.545034642032332,0.0,0.0,0.0,4.772902232486528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2324865280985375,0.0,0.0,0.0,0.0
BLZ,245600,109,5360,31,BZ,0.0,0.9174311926605505,0.0,0.0,4.587155963302752,0.0,0.0,0.0,3.669724770642202,5.504587155963303,0.9174311926605505,0.0,0.9174311926605505,0.0,2.7522935779816513,0.0,1.834862385321101,0.0,0.0,0.0,13.761467889908257,0.0,16.513761467889907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.678899082568808,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,0.0,0.0,0.0,0.0,9.174311926605505,0.0,0.0,0.0,0.0,0.0,12.844036697247706,0.0,0.0,0.0,11.009174311926605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,1529705,4872,6559,154,AU,0.14367816091954022,0.7799671592775042,0.3899835796387521,0.0,10.775862068965518,0.41050903119868637,0.0,0.24630541871921183,0.9852216748768473,11.350574712643677,0.0,0.020525451559934318,0.0,0.9852216748768473,1.1699507389162562,0.10262725779967159,1.6420361247947455,0.0,0.10262725779967159,0.041050903119868636,10.057471264367816,0.5336617405582923,10.960591133004925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1494252873563218,0.0,0.020525451559934318,0.041050903119868636,0.41050903119868637,0.06157635467980296,0.0,0.08210180623973727,10.385878489326766,0.14367816091954022,0.020525451559934318,0.41050903119868637,0.0,0.0,0.041050903119868636,0.0,0.0,0.0,0.020525451559934318,14.942528735632184,0.0,0.0,0.8004926108374384,0.020525451559934318,0.0,11.02216748768473,0.0,0.0,0.0,7.183908045977011,0.0,0.020525451559934318,0.0,0.0,0.020525451559934318,0.0,0.0,0.0,0.0,0.0,0.0,2.504105090311987,0.0,0.0,0.0,0.0
JPN,1173174,3346,8195,172,JP,0.029886431560071727,1.5540944411237299,0.5678421996413628,0.05977286312014345,12.044231918708906,0.38852361028093246,0.0,1.0161386730424387,1.763299462044232,10.310818888224746,0.029886431560071727,0.08965929468021518,0.0,0.1195457262402869,1.972504482964734,0.08965929468021518,2.1817095038852363,0.08965929468021518,0.2390914524805738,0.08965929468021518,9.86252241482367,0.6873879258816498,10.191273161984459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7471607890017932,0.0,0.0,0.14943215780035865,0.8368200836820083,0.05977286312014345,0.0,0.20920502092050208,10.01195457262403,0.14943215780035865,0.029886431560071727,0.08965929468021518,0.328750747160789,0.029886431560071727,0.1195457262402869,0.0,0.0,0.0,0.0,13.239689181111775,0.0,0.0,1.4943215780035863,0.05977286312014345,0.0,10.131500298864315,0.0,0.0,0.08965929468021518,5.977286312014345,0.0,0.0,0.029886431560071727,0.0,0.029886431560071727,0.0,0.0,0.0,0.0,0.029886431560071727,0.0,2.7794381350866706,0.0,0.0,0.0,0.0
NLD,2424663,7721,6768,198,NL,0.012951690195570522,2.1888356430514184,0.2460821137158399,0.0,12.278202305400855,0.8807149332987955,0.012951690195570522,0.09066183136899365,0.38855070586711565,9.338168631006347,0.012951690195570522,0.03885507058671157,0.0,0.07771014117342313,0.3367439450848336,0.10361352156456417,2.0981738116824244,0.0,0.06475845097785261,0.012951690195570522,10.711047791736823,0.2331304235202694,9.454733842766482,0.0,0.0,0.0,0.0,0.012951690195570522,0.0,0.025903380391141043,0.0,0.569874368605103,0.0,0.0,0.06475845097785261,1.6966714156197384,0.03885507058671157,0.0,0.09066183136899365,10.90532314467038,0.2331304235202694,0.012951690195570522,0.6864395803652377,0.0,0.0,0.07771014117342313,0.0,0.012951690195570522,0.012951690195570522,0.0,14.454086258256703,0.0,0.0,1.5282994430773216,0.0,0.0,10.711047791736823,0.0,0.0,0.012951690195570522,7.887579329102448,0.012951690195570522,0.05180676078228209,0.0,0.012951690195570522,0.012951690195570522,0.012951690195570522,0.0,0.05180676078228209,0.0,0.0,0.0,2.2147390234425592,0.0,0.0,0.0,0.012951690195570522
HKG,867155,3060,10590,103,HK,0.032679738562091505,0.5555555555555556,0.19607843137254902,0.0,35.19607843137255,0.16339869281045752,0.0,0.8823529411764706,0.6209150326797386,7.091503267973856,0.0,0.0,0.032679738562091505,0.09803921568627451,0.39215686274509803,0.032679738562091505,1.2091503267973855,0.0,0.0,0.0,7.647058823529412,0.7843137254901961,8.4640522875817,0.0,0.0,0.0,0.0,0.0,0.0,0.032679738562091505,0.0,0.6535947712418301,0.0,0.13071895424836602,0.0,0.32679738562091504,0.032679738562091505,0.0,0.032679738562091505,7.61437908496732,0.032679738562091505,0.032679738562091505,0.16339869281045752,0.0,0.0,0.13071895424836602,0.0,0.0,0.0,0.0,10.718954248366012,0.0,0.0,1.8627450980392157,0.0,0.0,7.810457516339869,0.0,0.0,0.0,5.42483660130719,0.032679738562091505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5359477124183007,0.0,0.0,0.0,0.032679738562091505
