pair,country_code_alpha2_A,country_code_alpha2_B,Overall_Similarity,country_code_alpha3_A,country_code_alpha3_B
"('NO', 'DK')",NO,DK,0.9988846045081479,NOR,DNK
"('CO', 'PE')",CO,PE,0.9986194764786314,COL,PER
"('LT', 'NZ')",LT,NZ,0.9982555255992049,LTU,NZL
"('RO', 'FR')",RO,FR,0.9980551624373719,ROU,FRA
"('FR', 'BE')",FR,BE,0.9977124779685324,FRA,BEL
"('FR', 'CA')",FR,CA,0.997616825294983,FRA,CAN
"('ES', 'MD')",ES,MD,0.9975198448284195,ESP,MDA
"('NL', 'IL')",NL,IL,0.9974954798176169,NLD,ISR
"('LU', 'NO')",LU,NO,0.9974867810597485,LUX,NOR
"('NL', 'HU')",NL,HU,0.9974386562604588,NLD,HUN
"('BE', 'GR')",BE,GR,0.9974225625051865,BEL,GRC
"('SE', 'FR')",SE,FR,0.9973379400810233,SWE,FRA
"('SE', 'NO')",SE,NO,0.997240499479047,SWE,NOR
"('CA', 'GR')",CA,GR,0.9970042513228696,CAN,GRC
"('LT', 'HU')",LT,HU,0.9969828980553138,LTU,HUN
"('ES', 'HU')",ES,HU,0.9967582849700672,ESP,HUN
"('FR', 'LU')",FR,LU,0.9966146438613203,FRA,LUX
"('CO', 'KE')",CO,KE,0.9964333860115995,COL,KEN
"('NZ', 'HU')",NZ,HU,0.9964272879006656,NZL,HUN
"('KE', 'NZ')",KE,NZ,0.9963876210454088,KEN,NZL
"('JP', 'NZ')",JP,NZ,0.9963693906534666,JPN,NZL
"('US', 'HU')",US,HU,0.9963373025816877,USA,HUN
"('AU', 'HU')",AU,HU,0.996243730551952,AUS,HUN
"('US', 'LT')",US,LT,0.9961003582963696,USA,LTU
"('CA', 'BE')",CA,BE,0.9960923645056242,CAN,BEL
"('RO', 'CA')",RO,CA,0.9960475645383636,ROU,CAN
"('HU', 'MD')",HU,MD,0.9960137852123638,HUN,MDA
"('SE', 'LU')",SE,LU,0.9959864863885852,SWE,LUX
"('SE', 'CA')",SE,CA,0.9958157909946365,SWE,CAN
"('LU', 'DK')",LU,DK,0.9958118357601957,LUX,DNK
"('FR', 'NO')",FR,NO,0.9957311017350127,FRA,NOR
"('LT', 'KE')",LT,KE,0.9955301286252722,LTU,KEN
